text_id,x,y,content,font_size,color,object_id,related_element_id
TXT-TMP_93ea3b9f-43b7-4da1-9359-e1a93fcad58c,444.9808,447.3964,开关00153,0.4088,"rgb(255,255,255)",TMP00132653,TMP_93ea3b9f-43b7-4da1-9359-e1a93fcad58c
TXT-TMP_ecced7c9-a5c0-4de8-87e0-22f9d3cabf1d,447.0247,447.3964,开关00152,0.4088,"rgb(255,255,255)",TMP00132654,TMP_ecced7c9-a5c0-4de8-87e0-22f9d3cabf1d
TXT-TMP_ebabf0ee-b04f-4bdf-9e81-ca0736fcb61c,449.0686,447.3964,开关00151,0.4088,"rgb(255,255,255)",TMP00132656,TMP_ebabf0ee-b04f-4bdf-9e81-ca0736fcb61c
TXT-TMP_eeda7995-66b8-469e-a30e-7e2b02121dfa,446.8999,448.8117,配变2268,0.189,"rgb(255,255,255)",TMP00132655,TMP_eeda7995-66b8-469e-a30e-7e2b02121dfa
TXT-TMP_c322bc3d-76ff-4e4e-adc5-1c4d1e6279db,435.1793,452.9477,开关00112,0.4088,"rgb(255,255,255)",TMP00132635,TMP_c322bc3d-76ff-4e4e-adc5-1c4d1e6279db
TXT-TMP_43e6122b-fa68-4d76-a880-3845aae61562,439.267,452.9477,开关00111,0.4088,"rgb(255,255,255)",TMP00132638,TMP_43e6122b-fa68-4d76-a880-3845aae61562
TXT-TMP_a75adf7d-2907-44d9-9864-b7ee2b6f7649,437.2231,452.9477,开关00110,0.4088,"rgb(255,255,255)",TMP00132636,TMP_a75adf7d-2907-44d9-9864-b7ee2b6f7649
TXT-TMP_c78acb43-6864-437e-a59e-b951c2a36d67,435.6669,451.788,配变2286,0.189,"rgb(255,255,255)",TMP00132637,TMP_c78acb43-6864-437e-a59e-b951c2a36d67
TXT-TMP_ef251518-cffd-4ad9-9571-56f6559e06d4,451.3314,456.2145,开关00135,0.3777,"rgb(255,255,255)",TMP00132606,TMP_ef251518-cffd-4ad9-9571-56f6559e06d4
TXT-TMP_743a1c67-b25f-40e6-a992-9005c1509ec9,453.2202,456.2145,开关00134,0.3777,"rgb(255,255,255)",TMP00132607,TMP_743a1c67-b25f-40e6-a992-9005c1509ec9
TXT-TMP_ce5cb94b-37a0-4da5-8184-2482abb1cba6,456.9977,456.2145,开关00133,0.3777,"rgb(255,255,255)",TMP00132611,TMP_ce5cb94b-37a0-4da5-8184-2482abb1cba6
TXT-TMP_bdd25b74-093e-4326-ab17-bab73b62ba4e,455.1089,456.2145,开关00132,0.3777,"rgb(255,255,255)",TMP00132609,TMP_bdd25b74-093e-4326-ab17-bab73b62ba4e
TXT-TMP_50eb1e40-ec07-4185-bfad-eccc530e2e7c,458.8864,456.2145,开关00131,0.3777,"rgb(255,255,255)",TMP00132613,TMP_50eb1e40-ec07-4185-bfad-eccc530e2e7c
TXT-TMP_e7744cc3-74a2-4c1f-8b20-c26f5c224ae9,453.1206,457.5152,配变2280,0.1827,"rgb(255,255,255)",TMP00132608,TMP_e7744cc3-74a2-4c1f-8b20-c26f5c224ae9
TXT-TMP_0c8c87b5-bbda-4ce2-a159-6481459377bb,456.8981,457.5304,配变2281,0.1827,"rgb(255,255,255)",TMP00132612,TMP_0c8c87b5-bbda-4ce2-a159-6481459377bb
TXT-TMP_d27c9b53-3b51-4fae-bb9c-ddd675db19a8,454.774,457.5304,配变2282,0.1827,"rgb(255,255,255)",TMP00132610,TMP_d27c9b53-3b51-4fae-bb9c-ddd675db19a8
TXT-TMP_eaf12c9c-cffe-4505-8723-476a20c3a5b3,454.4148,454.3328,0317595347母线,0.0799,"rgb(255,255,255)",TMP00313066,TMP_df0ade00-aada-47a1-be0a-c3062f8ecf74
TXT-TMP_b0cd86a4-8bcd-4fb6-97b2-8f209321ecc5,434.8721,460.6379,开关00156,0.4088,"rgb(255,255,255)",TMP00132585,TMP_b0cd86a4-8bcd-4fb6-97b2-8f209321ecc5
TXT-TMP_9599388f-5df5-4f0f-b7e0-5bb138867609,438.9599,460.6379,开关00155,0.4088,"rgb(255,255,255)",TMP00132588,TMP_9599388f-5df5-4f0f-b7e0-5bb138867609
TXT-TMP_2f7c4b76-e3c8-4e6b-9fb9-89ac6d19ce0d,436.916,460.6379,开关00154,0.4088,"rgb(255,255,255)",TMP00132586,TMP_2f7c4b76-e3c8-4e6b-9fb9-89ac6d19ce0d
TXT-TMP_19cfa81e-c96a-43e8-bdfc-47eef5bee44a,436.7626,462.0387,配变2269,0.1745,"rgb(255,255,255)",TMP00132587,TMP_19cfa81e-c96a-43e8-bdfc-47eef5bee44a
TXT-TMP_b8ed42ed-e019-455c-b8bd-ce5e2cff60e4,436.1649,458.6044,0315933707母线,0.0763,"rgb(255,255,255)",TMP00313067,TMP_df0ade00-aada-47a1-be0a-c3062f8ecf74
TXT-TMP_160e2a34-32fc-4a9d-aa91-798e4097149f,457.046,467.5567,开关00202,0.4468,"rgb(255,255,255)",TMP00132575,TMP_160e2a34-32fc-4a9d-aa91-798e4097149f
TXT-TMP_f5cee699-d76f-48f8-8b72-e00f828550a9,459.2799,467.5567,开关00201,0.4468,"rgb(255,255,255)",TMP00132576,TMP_f5cee699-d76f-48f8-8b72-e00f828550a9
TXT-TMP_84079f71-1be0-4122-ac2c-664c810fc37c,457.9137,469.0869,配变2295,0.4468,"rgb(255,255,255)",TMP00132577,TMP_84079f71-1be0-4122-ac2c-664c810fc37c
TXT-TMP_f9fdf489-d181-49ef-9c2e-d8e934a334e0,436.4837,469.6084,开关00175,0.4088,"rgb(255,255,255)",TMP00132658,TMP_f9fdf489-d181-49ef-9c2e-d8e934a334e0
TXT-TMP_c74e4ad0-a3d5-424f-9f22-f05ac09e375a,434.4398,469.6084,开关00174,0.4088,"rgb(255,255,255)",TMP00132657,TMP_c74e4ad0-a3d5-424f-9f22-f05ac09e375a
TXT-TMP_499050c2-ac23-4c5e-9c2f-98e5237d6020,438.5275,469.6084,开关00173,0.4088,"rgb(255,255,255)",TMP00132660,TMP_499050c2-ac23-4c5e-9c2f-98e5237d6020
TXT-TMP_bb17432e-9e21-450b-897d-eedfa7726b77,434.9636,468.5657,配变2307,0.189,"rgb(255,255,255)",TMP00132659,TMP_bb17432e-9e21-450b-897d-eedfa7726b77
TXT-TMP_ccb8b541-a799-4517-a85e-eda4953e54ef,420.235,483.2982,开关00147,0.4088,"rgb(255,255,255)",TMP00132617,TMP_ccb8b541-a799-4517-a85e-eda4953e54ef
TXT-TMP_985b39aa-d411-4345-8412-0b7bd5770051,416.1473,483.2982,开关00146,0.4088,"rgb(255,255,255)",TMP00132614,TMP_985b39aa-d411-4345-8412-0b7bd5770051
TXT-TMP_96867497-b7e5-4c54-8bd9-b966813a1739,418.1911,483.2982,开关00145,0.4088,"rgb(255,255,255)",TMP00132615,TMP_96867497-b7e5-4c54-8bd9-b966813a1739
TXT-TMP_4bc0f6cb-360c-4d8a-9c3a-94e2f1446e14,418.4991,484.9333,配变2266,0.4088,"rgb(255,255,255)",TMP00132616,TMP_4bc0f6cb-360c-4d8a-9c3a-94e2f1446e14
TXT-TMP_439d800e-0b61-4ffe-869f-2fb89fc987be,417.44,481.2647,最平环必低容母线,0.0763,"rgb(255,255,255)",TMP00313068,TMP_df0ade00-aada-47a1-be0a-c3062f8ecf74
