ConnectionID,StartDevice,EndDevice,PointsCount
TMP00314128,TMP00314129,TMP00314129,2
TMP00314130,TMP00314129,TMP00314129,2
TMP00314132,TMP00044550,TMP00314146,2
TMP00314134,TMP00314146,TMP00314146,2
TMP00314139,TMP00044550,TMP00314141,2
TMP00314140,TMP00314141,TMP00314141,2
TMP00314142,TMP00314141,TMP00314141,2
TMP00314144,TMP00044550,TMP00044550,2
TMP00314145,TMP00314146,TMP00314146,2
TMP00314136,TMP00314146,TMP00314146,2
TMP00314147,TMP00314146,TMP00314146,2
TMP00314148,TMP00044530,TMP00314151,2
TMP00314150,TMP00314151,TMP00314151,2
TMP00314152,TMP00314151,TMP00314151,2
TMP00314154,TMP00044530,TMP00314156,2
TMP00314155,TMP00314156,TMP00314156,2
TMP00314157,TMP00314156,TMP00314156,2
TMP00314160,TMP00044530,TMP00044530,2
TMP00314161,TMP00314156,TMP00314156,2
TMP00314162,TMP00044520,TMP00314165,2
TMP00314164,TMP00314165,TMP00314165,2
TMP00314166,TMP00314165,TMP00314165,2
TMP00314168,TMP00044520,TMP00044520,2
TMP00314169,TMP00314172,TMP00314172,2
TMP00314170,TMP00044520,TMP00314172,2
TMP00314171,TMP00314172,TMP00314172,2
TMP00314173,TMP00314172,TMP00314172,2
TMP00314176,TMP00044577,TMP00314179,2
TMP00314178,TMP00314179,TMP00314179,2
TMP00314180,TMP00314179,TMP00045938,2
TMP00314183,TMP00044577,TMP00044577,2
TMP00314184,TMP00314187,TMP00314187,2
TMP00314185,TMP00044577,TMP00314187,2
TMP00314186,TMP00314187,TMP00314187,2
TMP00314188,TMP00314187,TMP00314187,2
TMP00314190,TMP00046024,TMP00046024,2
TMP00314192,TMP00046024,TMP00046024,2
TMP00314193,TMP00046012,TMP00046012,2
TMP00314195,TMP00046012,TMP00046012,2
TMP00314196,TMP00046011,TMP00046011,2
TMP00314198,TMP00046011,TMP00046011,2
TMP00314199,TMP00045935,TMP00045935,2
TMP00314203,TMP00045935,TMP00046006,2
TMP00314205,TMP00046006,TMP00046006,2
TMP00314206,TMP00046005,TMP00046005,2
TMP00314208,TMP00046005,TMP00046005,2
TMP00314209,TMP00046004,TMP00046004,2
TMP00314211,TMP00046004,TMP00046004,2
TMP00314212,TMP00045996,TMP00045996,2
TMP00314214,TMP00045996,TMP00045996,2
TMP00314215,TMP00046000,TMP00046000,2
TMP00314217,TMP00046000,TMP00046000,2
TMP00314218,TMP00045999,TMP00045999,2
TMP00314220,TMP00045999,TMP00045999,2
TMP00314221,TMP00045998,TMP00045998,2
TMP00314223,TMP00045998,TMP00045998,2
TMP00314224,TMP00045934,TMP00045934,2
TMP00314227,TMP00045934,TMP00045934,2
TMP00314228,TMP00045934,TMP00045934,2
TMP00314230,TMP00045934,TMP00045934,2
TMP00314231,TMP00045934,TMP00045934,2
TMP00314233,TMP00045934,TMP00045934,2
TMP00314234,TMP00045991,TMP00045991,2
TMP00314236,TMP00045991,TMP00045991,2
TMP00314237,TMP00045988,TMP00045988,2
TMP00314239,TMP00045984,TMP00045984,2
TMP00314241,TMP00045984,TMP00045984,2
TMP00314242,TMP00045983,TMP00045983,2
TMP00314244,TMP00045983,TMP00045983,2
TMP00314245,TMP00045982,TMP00045982,2
TMP00314247,TMP00045982,TMP00045982,2
TMP00314248,TMP00045980,TMP00045980,2
TMP00314250,TMP00045980,TMP00045980,2
TMP00314251,TMP00045979,TMP00045979,2
TMP00314253,TMP00045979,TMP00045979,2
TMP00314254,TMP00045976,TMP00045976,2
TMP00314256,TMP00045976,TMP00045976,2
TMP00314257,TMP00045974,TMP00045974,2
TMP00314259,TMP00045974,TMP00045974,2
TMP00314260,TMP00045972,TMP00045972,2
TMP00314261,TMP00045972,TMP00045972,2
TMP00314262,TMP00045970,TMP00045970,2
TMP00314264,TMP00045970,TMP00045970,2
TMP00314265,TMP00045969,TMP00045969,2
TMP00314267,TMP00045969,TMP00045969,2
TMP00314268,TMP00045968,TMP00045968,2
TMP00314270,TMP00045968,TMP00045968,2
TMP00314271,TMP00045966,TMP00045966,2
TMP00314273,TMP00045966,TMP00045966,2
TMP00314274,TMP00045966,TMP00045966,2
TMP00314276,TMP00045966,TMP00045966,2
TMP00314277,TMP00045965,TMP00045965,2
TMP00314279,TMP00045965,TMP00045965,2
TMP00314280,TMP00045964,TMP00045964,2
TMP00314282,TMP00045964,TMP00045964,2
TMP00314283,TMP00045961,TMP00045961,2
TMP00314285,TMP00045961,TMP00045961,2
TMP00314286,TMP00046022,TMP00046022,2
TMP00314288,TMP00046022,TMP00046022,2
TMP00314289,TMP00046021,TMP00046021,2
TMP00314291,TMP00046021,TMP00046021,2
TMP00314292,TMP00046020,TMP00046020,2
TMP00314294,TMP00046020,TMP00046020,2
TMP00314295,TMP00046018,TMP00046018,2
TMP00314297,TMP00046018,TMP00046018,2
TMP00314298,TMP00046017,TMP00046017,2
TMP00314300,TMP00046017,TMP00046017,2
TMP00314301,TMP00046016,TMP00046016,2
TMP00314303,TMP00046016,TMP00046016,2
TMP00314304,TMP00046015,TMP00046015,2
TMP00314306,TMP00046015,TMP00046015,2
TMP00314307,TMP00046014,TMP00046014,2
TMP00314309,TMP00046014,TMP00046014,2
TMP00314310,TMP00046013,TMP00046013,2
TMP00314312,TMP00046013,TMP00046013,2
TMP00314313,TMP00045960,TMP00045960,2
TMP00314314,TMP00045960,TMP00045960,2
TMP00314315,TMP00045959,TMP00045959,2
TMP00314317,TMP00045959,TMP00045959,2
TMP00314318,TMP00045958,TMP00045958,2
TMP00314320,TMP00045958,TMP00045958,2
TMP00314321,TMP00045957,TMP00045957,2
TMP00314322,TMP00045957,TMP00045957,2
TMP00314323,TMP00045955,TMP00045955,2
TMP00314325,TMP00045955,TMP00045955,2
TMP00314326,TMP00045955,TMP00045955,2
TMP00314328,TMP00045955,TMP00045955,2
TMP00314329,TMP00045954,TMP00045954,2
TMP00314330,TMP00045954,TMP00045954,2
TMP00314331,TMP00045952,TMP00045952,2
TMP00314333,TMP00045952,TMP00045952,2
TMP00314334,TMP00046008,TMP00046008,2
TMP00314336,TMP00046009,TMP00046009,2
TMP00314337,TMP00046009,TMP00046009,2
TMP00314338,TMP00045985,TMP00045985,2
TMP00314339,TMP00045985,TMP00045985,2
TMP00314340,TMP00045962,TMP00045962,2
TMP00314341,TMP00045962,TMP00045962,2
TMP00313824,TMP00045962,TMP00045962,2
TMP00314342,TMP00046128,TMP00045939,2
TMP00314175,TMP00045939,TMP00314172,2
TMP00314343,TMP00045949,TMP00045949,2
TMP00314029,TMP00045949,TMP00045949,4
TMP00314344,TMP00045937,TMP00045937,2
TMP00314346,TMP00045944,TMP00045944,2
TMP00314096,TMP00045944,TMP00045944,4
TMP00314347,TMP00045938,TMP00045938,2
TMP00314182,TMP00045938,TMP00045938,4
TMP00314348,TMP00045947,TMP00045947,2
TMP00314057,TMP00045947,TMP00045947,4
TMP00314349,TMP00045950,TMP00045950,2
TMP00314015,TMP00045950,TMP00045950,4
TMP00314350,TMP00045940,TMP00045940,2
TMP00314159,TMP00045940,TMP00314156,4
TMP00314351,TMP00045942,TMP00045942,2
TMP00314124,TMP00045942,TMP00045942,4
TMP00314352,TMP00045945,TMP00045945,2
TMP00314082,TMP00045945,TMP00045945,4
TMP00314353,TMP00045948,TMP00045948,2
TMP00314043,TMP00045948,TMP00045948,4
TMP00314354,TMP00045943,TMP00045943,2
TMP00314110,TMP00045943,TMP00045943,2
TMP00314355,TMP00045972,TMP00045972,2
TMP00314356,TMP00046358,TMP00046020,2
TMP00314357,TMP00045989,TMP00045989,2
TMP00314358,TMP00046307,TMP00045987,2
TMP00314359,TMP00046474,TMP00046474,2
TMP00314360,TMP00046461,TMP00045975,2
TMP00314361,TMP00046423,TMP00046423,2
TMP00314238,TMP00045988,TMP00045988,2
TMP00314363,TMP00046029,TMP00046029,2
TMP00314226,TMP00045934,TMP00045934,2
TMP00314345,TMP00045937,TMP00045937,2
TMP00314365,TMP00045934,TMP00045934,2
TMP00313625,TMP00045936,TMP00045936,2
TMP00314366,TMP00045936,TMP00045936,2
TMP00314367,TMP00044257,TMP00046425,2
TMP00314368,TMP00045977,TMP00045977,2
TMP00314370,TMP00045977,TMP00046424,2
TMP00314201,TMP00045935,TMP00045935,2
TMP00314371,TMP00045935,TMP00045935,2
TMP00314202,TMP00045935,TMP00045935,2
TMP00314372,TMP00045935,TMP00045935,2
TMP00314373,TMP00045935,TMP00045935,2
TMP00314374,TMP00046335,TMP00046335,2
TMP00314377,TMP00044595,TMP00044595,2
TMP00314379,TMP00045935,TMP00045935,2
TMP00314380,TMP00046335,TMP00046335,2
TMP00314376,TMP00045935,TMP00046335,4
TMP00314381,TMP00045934,TMP00045994,2
TMP00314382,TMP00045941,TMP00045941,2
TMP00314383,TMP00045941,TMP00046113,2
TMP00314138,TMP00046112,TMP00314146,4
TMP00314384,TMP00044255,TMP00044255,2
TMP00314386,TMP00046423,TMP00046423,2
TMP00314387,TMP00045346,TMP00044254,2
TMP00314389,TMP00046422,TMP00046422,2
TMP00314390,TMP00046421,TMP00046421,2
TMP00314391,TMP00046422,TMP00046422,2
TMP00314393,TMP00046317,TMP00045934,2
